,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration
51,2025-02-28 20:59:33+00:00,375.0,0.23,0.21,0.25,0.030000001,15.000001,1059.0,2392,0.8378922460937499,False,REGULAR,USD,call,2025-03-07,6
52,2025-02-28 20:58:25+00:00,380.0,0.2,0.19,0.21,0.010000005,5.2631607,3073.0,6289,0.858399853515625,False,REGULAR,USD,call,2025-03-07,6
53,2025-02-28 20:54:30+00:00,385.0,0.2,0.18,0.2,0.049999997,33.333332,759.0,3709,0.8886729882812499,False,REGULAR,USD,call,2025-03-07,6
54,2025-02-28 20:59:58+00:00,390.0,0.15,0.15,0.18,0.010000005,7.1428614,1070.0,2770,0.9062509375,False,REGULAR,USD,call,2025-03-07,6
55,2025-02-28 20:59:24+00:00,395.0,0.15,0.13,0.16,0.02000001,15.3846245,507.0,1550,0.9257819921875,False,REGULAR,USD,call,2025-03-07,6
56,2025-02-28 20:59:41+00:00,400.0,0.12,0.12,0.13,0.019999996,19.999996,4292.0,11760,0.9414068359375,False,REGULAR,USD,call,2025-03-07,6
57,2025-02-28 20:47:06+00:00,405.0,0.11,0.09,0.14,0.0,0.0,1771.0,1590,0.96289099609375,False,REGULAR,USD,call,2025-03-07,6
58,2025-02-28 20:51:27+00:00,410.0,0.1,0.08,0.13,0.009999998,11.111108,1247.0,1435,0.98437515625,False,REGULAR,USD,call,2025-03-07,6
59,2025-02-28 20:55:30+00:00,415.0,0.11,0.07,0.12,0.009999998,9.999998,235.0,2445,1.0039112304687499,False,REGULAR,USD,call,2025-03-07,6
60,2025-02-28 20:54:51+00:00,420.0,0.09,0.06,0.1,0.020000003,28.571432,2367.0,3277,1.013676806640625,False,REGULAR,USD,call,2025-03-07,6
61,2025-02-28 20:52:02+00:00,425.0,0.08,0.06,0.1,0.029999997,59.999996,348.0,1408,1.0429735351562504,False,REGULAR,USD,call,2025-03-07,6
62,2025-02-28 20:43:56+00:00,430.0,0.07,0.05,0.07,0.010000002,16.66667,1021.0,2189,1.0390673046875003,False,REGULAR,USD,call,2025-03-07,6
63,2025-02-28 20:28:18+00:00,435.0,0.05,0.04,0.09,0.0,0.0,183.0,2289,1.0742233789062503,False,REGULAR,USD,call,2025-03-07,6
64,2025-02-28 20:36:28+00:00,440.0,0.05,0.04,0.08,-0.009999998,-16.666664,1490.0,2483,1.09375453125,False,REGULAR,USD,call,2025-03-07,6
65,2025-02-28 20:56:43+00:00,445.0,0.04,0.03,0.05,0.0,0.0,1120.0,1365,1.0781296093750001,False,REGULAR,USD,call,2025-03-07,6
66,2025-02-28 20:55:33+00:00,450.0,0.05,0.03,0.05,0.0,0.0,3283.0,3691,1.1015669921875002,False,REGULAR,USD,call,2025-03-07,6
67,2025-02-28 20:49:36+00:00,455.0,0.02,0.01,0.04,-0.02,-50.0,575.0,484,1.0781296093750001,False,REGULAR,USD,call,2025-03-07,6
68,2025-02-28 20:58:41+00:00,460.0,0.02,0.01,0.04,-0.01,-33.333336,478.0,881,1.1015669921875002,False,REGULAR,USD,call,2025-03-07,6
69,2025-02-28 20:48:07+00:00,465.0,0.02,0.01,0.03,0.0,0.0,50.0,294,1.1015669921875002,False,REGULAR,USD,call,2025-03-07,6
70,2025-02-28 20:25:07+00:00,470.0,0.02,0.01,0.03,0.0,0.0,354.0,1096,1.125004375,False,REGULAR,USD,call,2025-03-07,6
71,2025-02-27 20:29:32+00:00,475.0,0.01,0.01,0.03,-0.01,-50.0,12.0,1180,1.1484417578125,False,REGULAR,USD,call,2025-03-07,6
72,2025-02-28 19:43:20+00:00,480.0,0.01,0.01,0.03,0.0,0.0,117.0,2801,1.171879140625,False,REGULAR,USD,call,2025-03-07,6
73,2025-02-28 20:58:51+00:00,485.0,0.01,0.0,0.04,-0.01,-50.0,29.0,318,1.1953165234375,False,REGULAR,USD,call,2025-03-07,6
74,2025-02-28 20:59:46+00:00,490.0,0.02,0.0,0.03,0.0,0.0,247.0,454,1.1875040625,False,REGULAR,USD,call,2025-03-07,6
75,2025-02-28 20:18:38+00:00,495.0,0.01,0.0,0.03,-0.01,-50.0,3.0,486,1.203128984375,False,REGULAR,USD,call,2025-03-07,6
76,2025-02-28 20:54:20+00:00,500.0,0.01,0.0,0.01,0.0,0.0,502.0,2448,1.125004375,False,REGULAR,USD,call,2025-03-07,6
77,2025-02-28 17:23:25+00:00,505.0,0.01,0.0,0.01,0.0,0.0,1.0,186,1.15625421875,False,REGULAR,USD,call,2025-03-07,6
78,2025-02-27 14:30:07+00:00,510.0,0.01,0.0,0.01,0.0,0.0,24.0,328,1.15625421875,False,REGULAR,USD,call,2025-03-07,6
79,2025-02-28 14:38:57+00:00,515.0,0.02,0.0,0.01,0.01,100.0,12.0,244,1.1875040625,False,REGULAR,USD,call,2025-03-07,6
80,2025-02-27 18:27:02+00:00,520.0,0.01,0.0,0.01,0.0,0.0,1.0,597,1.21875390625,False,REGULAR,USD,call,2025-03-07,6
81,2025-02-28 18:57:12+00:00,525.0,0.01,0.0,0.01,0.0,0.0,3235.0,1287,1.21875390625,False,REGULAR,USD,call,2025-03-07,6
82,2025-02-28 14:41:27+00:00,530.0,0.01,0.0,0.01,0.0,0.0,5.0,920,1.2500037499999999,False,REGULAR,USD,call,2025-03-07,6
83,2025-02-26 15:39:16+00:00,535.0,0.01,0.0,0.01,0.0,0.0,1.0,711,1.2500037499999999,False,REGULAR,USD,call,2025-03-07,6
